carrec,r2013,dieta,dietes,retribucio,total,nom,dept,detalls,naut,danual,column,column2,carrec2
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Ballester Ferreres, M. Pilar",GO,,37.86,113.58,,,Vocals titulars Adm. Locals
Patronat ESMUC  | Patró,2,120,€240.00,,€240.00,"Ballester Gibert, Jordi",EN,,120,240,,,Patró
Consell d'Administració del Centre d'lnserció i Rehabiıitacıó (cıRE) | Vocal,2,378,€756.00,,€756.00,"Ballester Muñoz, Santiago",JU,,378,756,,,Vocal
| Director/a General de Dret i Entitats Juridiques,,,,"€76,270.38","€76,270.38","Ballester Muñoz, Santiago",JU,2013,,,,,Director/a General de Dret i Entitats Juridiques
Comissió Territorial d’Urbanisme de Tarragona | Vocal Alcalde - President de l’Ajuntament de Tarragona,8,0,€0.00,,€0.00,"Ballesteros Casanovas, Josep Fèlix",PO,64.91,RENUNCIA A LA DIETA,0,,,Vocal Alcalde - President de l’Ajuntament de Tarragona
Jurat Expropiació Tarragona | Vocals titulars,10,108,"€1,080.00",,"€1,080.00","Ballvé Mariné, Anton",GO,,108,1080,,,Vocals titulars
"Comissió Territorial d’Urbanisme de Tarragona | Vocal Director dels Serveis Territorials del Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural a Tarragona",8,64.91,€519.28,,€519.28,"Ballvé Mariné, Anton",PO,,64.91,519.28,,,"Vocal Director dels Serveis Territorials del Departament d’Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural a Tarragona"
Consell d’Administració de l’Agencia Catalana de l’Aigua | Vocal (Representant de  l'Àrea Metropolitana de Barcelona),4,0,€0.00,,€0.00,"Balmón Arévalo, Antonio",PO,,RENUNCIA A LA DIETA,0,,,Vocal (Representant de  l'Àrea Metropolitana de Barcelona)
Consell d’Administració de l’Autoritat del Transport Metropolità (ATM) | Vocal(Alcalde Ajuntament de Cornellà de Llobregat),5,0,€0.00,,€0.00,"Balmón Arévalo, Antonio",PO,,RENUNCIA A LA DIETA,0,,,Vocal(Alcalde Ajuntament de Cornellà de Llobregat)
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Vicepresident Alcalde de l’Ajuntament de Cornellà de Llobregat,8,0,€0.00,,€0.00,"Balmón Arévalo, Antonio",PO,64.91,RENUNCIA A LA DIETA,0,,,Vicepresident Alcalde de l’Ajuntament de Cornellà de Llobregat
Comissió Territorial d’Urbanisme de Barcelona | Vocal Alcalde de l’Ajuntament de Gavà,8,64.91,€519.28,,€519.28,"Balsera García, Joaquim",PO,64.91,No autoritza publicació,519.28,,,Vocal Alcalde de l’Ajuntament de Gavà
Comissió de Govern local de Catalunya | Vocals,8,48.68,€389.44,,€389.44,"Balsera García, Joaquim",GO,,Pendent autorització,389.44,,,Vocals
Jurat Expropiació Girona | Secretari,20,162,"€3,240.00",,"€3,240.00","Baltasar Pellicer, Susagna",GO,,162,3240,,,Secretari
Institut Català per la Pau (ICIP) - Junta de Govern | Membre,7,225,"€1,575.00",,"€1,575.00","Banda Tarradelles, Alfons",GO,,225,1575,,,Membre
Autoritat Catalana de Protecció de dades - Consell Assessor | Vocal,4,64.91,€259.64,,€259.64,"Bàrbara Fondevila, M. Àngels",GO,,64 91€,259.64,,,Vocal
Consell Rector de l’Institut per al Desenvolupament de les Comarques de l’Ebre (IDECE) | Vocal (Representant del Consell Comarcal de la Ribera d’Ebre),2,63.11,€126.22,,€126.22,"Barbero Escrivà, Francesc Lluis",PO,,63.11,126.22,,,Vocal (Representant del Consell Comarcal de la Ribera d’Ebre)
Comissió Territorial d’Urbanisme de la Catalunya Central. Ponència Tècnica | Vocal titular Federació de Municipis de Catalunya,8,64.91,€519.28,,€519.28,"Bardolet Casas, Mª Àngels",PO,,64.91,519.28,,,Vocal titular Federació de Municipis de Catalunya
Patronat ESMUC  | Patró,2,120,€240.00,,€240.00,"Bardolet Mayola, Albert",EN,,120,240,,,Patró
Junta de Govern de la Institució de les Lletres Catalanes | Vocal en repr. del Consell Assessor de la Institució de les Lletres Catalanes,6,59.5,€357.00,,€357.00,"Barnils Carrera, Antoni",CU,,59.5,357,,,Vocal en repr. del Consell Assessor de la Institució de les Lletres Catalanes
Consell Assessor de la Institució de les Lletres Catalanes | Vocal en repr. de l'Associació d'Editors en Llengua Catalana,2,59.5,€119.00,,€119.00,"Barnils Carrera, Antoni",CU,,59.5,119,,,Vocal en repr. de l'Associació d'Editors en Llengua Catalana
Consell General Institut Català de les Empreses Culturals | Representant de la Federació de Municipis de Catalunya,2,162,€324.00,,€324.00,"Barnusell Ortuño, Aiba",CU,,162,324,,,Representant de la Federació de Municipis de Catalunya
Memorial Democràtic - Junta de Govern | Membre,2,251.52,€503.04,,€503.04,"Barrera Puigví, Agustí",GO,,251.52,503.04,,,Membre
Comissió Territorial d’Urbanisme de la Vall d’Aran | Vicepresident Síndic d’Aran. Conselh Generau d’Aran,4,64.91,€259.64,,€259.64,"Barrera Sánchez, Carlos",PO,,64.91,259.64,,,Vicepresident Síndic d’Aran. Conselh Generau d’Aran
Comissió Territorial d’Urbanisme de Girona. Ponència Tècnica | Vocal Arquitecta dels Serveis Territorials del Departament de Cultura a Girona,8,64.91,€519.28,,€519.28,"Bas Lay, Olga",PO,,64.91,519.28,,,Vocal Arquitecta dels Serveis Territorials del Departament de Cultura a Girona
"Consell d’Administració de l’Agencia Catalana de l’Aigua | Percep directament l’entitat Vocal (Representant de la Coordinadora d'Usuaris de la Salut, Consum i Alimentació)",4,551.72,"€2,206.88",,"€2,206.88","Bascompte Bonvehí, Dolors",PO,Percep directament l’entitat,551.72,2206.88,,,"Percep directament l’entitat Vocal (Representant de la Coordinadora d'Usuaris de la Salut, Consum i Alimentació)"
Autoritat Catalana de Protecció de dades - Consell Assessor | Vocal,4,64.91,€259.64,,€259.64,"Bassas Mariné, Joan",GO,,6491,259.64,,,Vocal
| Director/a Del Programa de Polítiques de Transparència,,,,"€102,161.66","€102,161.66","Bassols Muntada, Núria",PR,2014,,,,,Director/a Del Programa de Polítiques de Transparència
| Secretari/ària,,,,"€44,273.60","€44,273.60","Bastida Marco, Carmen",PR,2014,,,,,Secretari/ària
Jurat Expropiació Tarragona | Vocals titulars,10,108,"€1,080.00",,"€1,080.00","Bastús, Novau, Antonio",GO,,Pendent autorització,1080,,,Vocals titulars
Entitat Autònoma de Jocs i Apostes (EAJA). Consell d’Administració | Secretària,12,540,"€6,480.00",,"€6,480.00","Batalla Pascual, Rosa",EC,,540,6480,,,Secretària
Institut Català de la Salut Consell d'Administració,5,378,"€1,890.00",,"€1,890.00","Bataller Cifuentes, M. Luz",SA,,378,1890,,,
| Directora General de la Inspecció de Treball,,,,"€76,270.35","€76,270.35","Bataller Cifuentes, M. Luz",IU,2014,,,,,Directora General de la Inspecció de Treball
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Batet Canadell, Albert",GO,,37.86,113.58,,,Vocals titulars Adm. Locals
"Consell d’Administració de Terminal Intermodal de l’Empordà, SL (TIE) | Vocal (Cap de Planificació i Intermodalitat de CIMALSA)",4,251.52,"€1,006.08",,"€1,006.08","Batlle Blanco, Simon",PO,,251.52,1006.08,,,Vocal (Cap de Planificació i Intermodalitat de CIMALSA)
Consell Escolar Catalunya Ple i Comissions | Membre,4,43.27,€173.08,,€173.08,"Baulenas Cases, Lluís",EN,,43.27,173.08,,,Membre
Comissió Territorial d’Urbanisme de Girona | Vocal Director dels Serveis Territorials del Departament de Cultura a Girona,8,64.91,€519.28,,€519.28,"Baulida Casadellà, Antoni",PO,,64.91,519.28,,,Vocal Director dels Serveis Territorials del Departament de Cultura a Girona
Consell Administració EADOP | Vocal,12,378.64,"€4,543.68",,"€4,543.68","Bayarri Roda, Ma Pilar",PR,,378.64,4543.68,,,Vocal
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Vocal Arquitecta dels Serveis Territorials del Departament d’Ensenyament a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Bayerri Polo, Maria Carmen",PO,64.91,No autoritza publicació,324.55,,,Vocal Arquitecta dels Serveis Territorials del Departament d’Ensenyament a les Terres de l’Ebre
Consell Català de I'FP | Titular,12,37.86,€454.32,,€454.32,"Bayot Escardívol, Rosa",EN,,37.86,454.32,,,Titular
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Bayot Fuertes, Alben",EN,,43.27,346.16,,,Membre
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Bel Accensi, Ferran",GO,,Pendent autorització,113.58,,,Vocals titulars Adm. Locals
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Vocal Col.legi d’Arquitectes de Catalunya,5,64.91,€324.55,,€324.55,"Bel Homedes, Jaume",PO,64.91,No autoritza publicació,324.55,,,Vocal Col.legi d’Arquitectes de Catalunya
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Vocal Arquitecta Territorial a Barcelona dels Serveis Territorials a Barcelona del Departament de Cultura,8,64.91,€519.28,,€519.28,"Belart Calvet, Elena",PO,,64.91,519.28,,,Vocal Arquitecta Territorial a Barcelona dels Serveis Territorials a Barcelona del Departament de Cultura
Consell de Govern del Consorci Port de Portbou | Gerent (Gerent del Consorci Port de Portbou),4,28.5,€114.00,,€114.00,"Bellavista Solà, Joan",PO,,28.5,114,,,Gerent (Gerent del Consorci Port de Portbou)
Comissió Territorial d’Urbanisme de Lleida. Ponència Tècnica | Vocal de lliure designació,8,64.91,€519.28,,€519.28,"Bellet Sanfeliu, Carme",PO,,64.91,519.28,,,Vocal de lliure designació
Jurat Expropiació Barcelona | Vocals titulars,28,108,"€3,024.00",,"€3,024.00",Beltran Ruiz-.Enrique,GO,,108,3024,,,Vocals titulars
| Assessor en matèria de Seguretat Pública,,,,"€66,825.09","€66,825.09","Beltran Serra, Xavier",IT,2013,,,,,Assessor en matèria de Seguretat Pública
Comissió Territorial d’Urbanisme de la Vall d’Aran. Ponència Tècnica | Vocal Cap del Servei Territorial de Carreteres del Departament de Territori i Sostenibilitat a Lleida,4,64.91,€259.64,,€259.64,"Benet Llovera, Jordi",PO,,64.91,259.64,,,Vocal Cap del Servei Territorial de Carreteres del Departament de Territori i Sostenibilitat a Lleida
Comissió Territorial d’Urbanisme de Lleida. Ponència Tècnica | Vocal d’Urbanisme de Lleida. Ponència Tècnica Cap del Servei Territorial de Carreteres de Lleida dels Serveis Territorials del Departament de Territori i Sostenibilitat a Lleida,8,64.91,€519.28,,€519.28,"Benet Llovera, Jordi",PO,,64.91,519.28,,,Vocal d’Urbanisme de Lleida. Ponència Tècnica Cap del Servei Territorial de Carreteres de Lleida dels Serveis Territorials del Departament de Territori i Sostenibilitat a Lleida
Comissió Territorial d’Urbanisme de Girona. Ponència Tècnica | Arquitecta tècnica,8,64.91,€519.28,,€519.28,"Berdala Pascual, Alèxia",PO,,64.91,519.28,,,Arquitecta tècnica
Comissió Territorial d’Urbanisme de Barcelona | Vocal amb veu i sense vot Director dels Serveis Territorials del Departament de Territori i Sostenibilitat a Barcelona,8,64.91,€519.28,,€519.28,"Berga Vayreda, Francesc Xavier",PO,,64.91,519.28,,,Vocal amb veu i sense vot Director dels Serveis Territorials del Departament de Territori i Sostenibilitat a Barcelona
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Vocal Director dels Serveis Territorials del Departament de Territori i Sostenibilitat a Barcelona,8,64.91,€519.28,,€519.28,"Berga Vayreda, Francesc Xavier",PO,,64.91,519.28,,,Vocal Director dels Serveis Territorials del Departament de Territori i Sostenibilitat a Barcelona
Consell d’Administració de Centrals i Infraestructures per a la Mobilitat i les Activitats Logístiques (CIMALSA) | Secretari no conseller (Director dels Serveis Territorials a Barcelona del Departament de Territori i Sostenibilitat),4,300,"€1,200.00",,"€1,200.00","Berga Vayreda, Xavier",PO,,300,1200,,,Secretari no conseller (Director dels Serveis Territorials a Barcelona del Departament de Territori i Sostenibilitat)
Jurat Expropiació Lleida | Vocals suplents,20,108,"€2,160.00",,"€2,160.00","Bermúdez Flores, Araceli",GO,,108,2160,,,Vocals suplents
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Vocal Oficina per al Desenvolupament de l’Autogovern del Departament de Governació i Relacions Institucionals,8,64.91,€519.28,,€519.28,"Bernadí Gil, Xavier",PO,,64.91,519.28,,,Vocal Oficina per al Desenvolupament de l’Autogovern del Departament de Governació i Relacions Institucionals
| Oficina Per Al Desenvolupament de L'autogovern,,,,"€76,270.38","€76,270.38","Bernadí Gil, Xavier",GO,2013,,,,,Oficina Per Al Desenvolupament de L'autogovern
Jurat Expropiació Girona | Vocals titulars,20,108,"€2,160.00",,"€2,160.00","Bernat Falomir, Jordi",GO,,108,2160,,,Vocals titulars
Jurat Expropiació Lleida | Vocals titulars,20,108,"€2,160.00",,"€2,160.00","Bernaus Gaset, M. Neus",GO,,108,2160,,,Vocals titulars
Consell Rector de l’Institut per al Desenvolupament de les Comarques de l’Ebre (IDECE) | Vocal (Representant del Grup Parlamentari PPC),2,63.11,€126.22,,€126.22,"Bertomeu Bertomeu, Joan",PO,,63.11,126.22,,,Vocal (Representant del Grup Parlamentari PPC)
"Infraestructures de la Generalitat de Catalunya, SAU, Consell d’Administració | Vocal",12,627.45,"€7,529.40",,"€7,529.40","Bertran Saura, Lluís",EC,,627.45,7529.4,,,Vocal
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat (CTTI) | Vocal Consell d'Administració (Titular de la SG del Dept. de Tecnologies de la GO),11,573.3,"€6,306.30",,"€6,306.30","Bertran Saura, Lluís",IU,,573.3,6306.3,,,Vocal Consell d'Administració (Titular de la SG del Dept. de Tecnologies de la GO)
Institut Català de la Salut Comissió Executiva del Consell d'Administració | Vocal,10,378,"€3,780.00",,"€3,780.00","Bertran Saura, Lluís",SA,,378,3780,,,Vocal
Institut Català de la Salut Consell d'Administració,5,378,"€1,890.00",,"€1,890.00","Bertran Saura, Lluís",SA,,378,1890,,,
Consell d'Administració d'Aeroports Públics de Catalunya | Vocal (Secretari General del Departament de Governació i Relacions,7,251,"€1,757.00",,"€1,757.00","Bertran Saura, Lluís",PO,,251,1757,,,Vocal (Secretari General del Departament de Governació i Relacions
Consorci Administració Oberta de Catalunya - comisió executiva | Membre,6,225,"€1,350.00",,"€1,350.00","Bertran Saura, Lluís",GO,,225,1350,,,Membre
| Secretari/aria General de Governació i Relacions Institucionals,,,,"€79,651.66","€79,651.66","Bertran Saura, Lluís",GO,2013,,,,,Secretari/aria General de Governació i Relacions Institucionals
| Directora del programa Catalunya Emprèn,,,,"€68,746.49","€68,746.49","Betriu Sanchez, Núria",IU,2014,,,,,Directora del programa Catalunya Emprèn
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Vocal amb veu i sense vot Directora dels Serveis Territorials del Departament de Territori i Sostenibilitat a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Bigorra Gualba, Carme",PO,,64.91,324.55,,,Vocal amb veu i sense vot Directora dels Serveis Territorials del Departament de Territori i Sostenibilitat a les Terres de l’Ebre
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,Bigorra Munté. Tomàs,GO,,37.86,113.58,,,Vocals titulars Adm. Locals
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Vocal. Membre de lliure designació. Director dels Serveis Territorials del Departament de Cultura a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Bladé Pujol, Ferran",PO,64.91,No autoritza publicació,324.55,,,Vocal. Membre de lliure designació. Director dels Serveis Territorials del Departament de Cultura a les Terres de l’Ebre
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Blanch Huguet, Jordi",EN,,43.27,346.16,,,Membre
Jurat Expropiació Lleida | Vocals suplents,20,108,"€2,160.00",,"€2,160.00","Blanco Crustan, Manuel",GO,,108,2160,,,Vocals suplents
| Oficina de la Secretaria del Conseller,,,,"€49,535.87","€49,535.87","Blanco Nuño, Montserrat",EC,2014,,,,,Oficina de la Secretaria del Conseller
| Cap del Gabinet del Conseller,,,,"€73,642.66","€73,642.66","Blanco Roures, M. Susanna",CU,2014,,,,,Cap del Gabinet del Conseller
Comissió Territorial d’Urbanisme de la Catalunya Central | Vocal titular Directora dels Serveis Territorials a la Catalunya Central del Departament de Cultura,8,64.91,€519.28,,€519.28,"Blasco Rovira, Mª Àngels",PO,,64.91,519.28,,,Vocal titular Directora dels Serveis Territorials a la Catalunya Central del Departament de Cultura
| Cap del Gabinet del Conseller,,,,"€68,746.49","€68,746.49","Blasi Raventós, Maria Del Mar",IT,2013,,,,,Cap del Gabinet del Conseller
Com. Delimitació Territorial | Vocals suplents,3,43.2,€129.60,,€129.60,Blay Boquè. Jordi,GO,,43.2,129.6,,,Vocals suplents
Jurat Expropiació Girona | Vocals titulars,20,108,"€2,160.00",,"€2,160.00","Boada Palomer, Josep M.",GO,,Pendent autorització,2160,,,Vocals titulars
Comissió Territorial d’Urbanisme de Girona | Secretària Cap de la Secció de la Secretaria de la Comissió Territorial d’Urbanisme de Girona dels Serveis Territorials d’Urbanisme a Girona del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Bofarull Serrat, Sònia",PO,,64.91,519.28,,,Secretària Cap de la Secció de la Secretaria de la Comissió Territorial d’Urbanisme de Girona dels Serveis Territorials d’Urbanisme a Girona del Departament de Territori i Sostenibilitat
